epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.693,1.39682,1.5215,1.07468,0.59422,0.56884,0.61378,0.37597,1.25881,0.91245,1.02996,0.000474787,0.000474787,0.000474787
2,773.628,1.31164,0.94776,1.04633,0.92779,0.56074,0.60977,0.3745,1.2662,0.85115,1.02034,0.000856959,0.000856959,0.000856959
3,1047.63,1.29678,0.85535,1.04984,0.93607,0.56642,0.61703,0.39561,1.2297,0.74168,1.02005,0.00114482,0.00114482,0.00114482
4,1328.58,1.26291,0.78464,1.04125,0.94585,0.56983,0.61968,0.38871,1.25554,0.72802,1.02661,0.00100459,0.00100459,0.00100459
5,1593.6,1.23747,0.7386,1.02686,0.95032,0.56761,0.62029,0.40606,1.19936,0.66467,1.01647,0.000863116,0.000863116,0.000863116
6,1865.66,1.21482,0.69381,1.02127,0.94751,0.5791,0.62997,0.41283,1.18623,0.64846,1.0046,0.000721645,0.000721645,0.000721645
7,2133.19,1.18224,0.65387,1.0082,0.95266,0.59337,0.63651,0.42198,1.1645,0.60533,0.99402,0.000580174,0.000580174,0.000580174
8,2426.16,1.16929,0.62886,1.00365,0.95309,0.59558,0.64202,0.42826,1.1434,0.58022,0.98775,0.000438703,0.000438703,0.000438703
9,2710.42,1.14564,0.60223,0.98791,0.95761,0.59655,0.64056,0.43443,1.12374,0.56179,0.98012,0.000297232,0.000297232,0.000297232
10,3006.19,1.11956,0.57641,0.98194,0.95644,0.60549,0.64479,0.43799,1.11573,0.54257,0.97556,0.000155761,0.000155761,0.000155761
